[ok] control_no_mutation: verified S3/True/None  (3.5s)
[ok] control_fresh_checkout_nothing_restored: exception Refusal: image: the image binary 'firmware/b2/bsp/out/b2_app.bin' is absent — the declaration is not evidence that it exists  (1.2s)
[ok] control_fresh_checkout_images_only_restored: exception Refusal: instrument pins: B1's instrument pin table: pinned files changed: vivado/carrier/generated/clockInfo.txt: missing; vivado/carrier/generated/vivado.jou: missing;  (1.5s)
[ok] modify_host_b3_online: exception Refusal: instrument pins: pinned files changed: host/b3_online.py: hash differs  (1.2s)
[ok] modify_host_b3_sim: exception Refusal: instrument pins: pinned files changed: host/b3_sim.py: hash differs  (1.3s)
[ok] modify_tests_test_b3_online: exception Refusal: instrument pins: pinned files changed: tests/test_b3_online.py: hash differs  (1.6s)
[ok] delete_host_b3_online: exception Refusal: instrument pins: pinned files changed: host/b3_online.py: missing  (1.4s)
[ok] delete_host_b3_sim: exception Refusal: instrument pins: pinned files changed: host/b3_sim.py: missing  (1.6s)
[ok] delete_tests_test_b3_online: exception Refusal: instrument pins: pinned files changed: tests/test_b3_online.py: missing  (1.5s)
[ok] add_host_b3_glob_match: exception Refusal: instrument pins: files matching the pinned globs are not in the table: ['host/b3_lifecycle1_probe.py']  (1.3s)
[ok] add_tests_test_b3_glob_match: exception Refusal: instrument pins: files matching the pinned globs are not in the table: ['tests/test_b3_lifecycle1_probe.py']  (1.4s)
[ok] modify_evidence_b3_sim_report_master_seed: exception Refusal: evidence/b2/b2q_plan.json is not the canonical B2Q plan: ['seed_derivation.excluded_frozen_sets.evidence/b3/sim/sim_report.json.master_seed: 3829368064 != 38293  (1.8s)
[ok] delete_evidence_b3_sim_report: exception FileNotFoundError: [Errno 2] No such file or directory: '/tmp/claude-1000/-home-test-xilinx/dd60545e-0d28-4c6d-8695-2fe8dee92ace/scratchpad/wt/delete_evidence_b3_sim_report/eviden  (1.7s)
[ok] neg_add_host_b3_subdir_module: verified S3/True/None  (3.1s)
[ok] neg_add_tests_b3_subdir_test: verified S3/True/None  (3.3s)
[ok] neg_add_toplevel_b3_dir: verified S3/True/None  (3.3s)
[ok] neg_modify_docs_b3_architecture: verified S3/True/None  (2.9s)
[ok] neg_modify_schemas_specimen_ledger: verified S3/True/None  (2.8s)
[ok] neg_modify_evidence_b3_sim_v011_report: verified S3/True/None  (2.7s)
[ok] neg_add_evidence_b3_new_dir: verified S3/True/None  (3.3s)
