routepin.schema	ff_formal_routepin/2
routepin.dedicated	anchor_o anchor_o2 anchor_o2_OBUF anchor_o_OBUF q q_OBUF qr1 w1 w2
routepin.routable	anchor_o2_OBUF anchor_o_OBUF q_OBUF qr1 w1 w2
routepin.intrasite	anchor_o anchor_o2 q
routepin.first.anchor_o.route	{}
routepin.first.anchor_o.pips	
routepin.first.anchor_o.driver	anchor_o_OBUF_inst/O
routepin.first.anchor_o.sinks	
routepin.first.anchor_o.status	INTRASITE
routepin.first.anchor_o.fixed	0
routepin.first.anchor_o2.route	{}
routepin.first.anchor_o2.pips	
routepin.first.anchor_o2.driver	anchor_o2_OBUF_inst/O
routepin.first.anchor_o2.sinks	
routepin.first.anchor_o2.status	INTRASITE
routepin.first.anchor_o2.fixed	0
routepin.first.anchor_o2_OBUF.route	 { CLBLM_L_AQ CLBLM_LOGIC_OUTS0 NE6BEG0 NE6BEG0 NE6BEG0 NE6BEG0 EE2BEG0 NE6BEG0 NE6BEG0 NN6BEG0 NN6BEG0 NN6BEG0 NN6BEG0 NN2BEG0 SR1BEG_S0 IMUX34 IOI_OLOGIC1_D1 RIOI_OLOGIC1_OQ RIOI_O1 }  
routepin.first.anchor_o2_OBUF.pips	CLBLM_R_X17Y20/CLBLM_R.CLBLM_L_AQ->CLBLM_LOGIC_OUTS0 INT_R_X17Y20/INT_R.LOGIC_OUTS0->>NE6BEG0 INT_R_X19Y24/INT_R.NE6END0->>NE6BEG0 INT_R_X21Y28/INT_R.NE6END0->>NE6BEG0 INT_R_X23Y32/INT_R.NE6END0->>NE6BEG0 INT_R_X25Y36/INT_R.NE6END0->>EE2BEG0 INT_R_X27Y36/INT_R.EE2END0->>NE6BEG0 INT_R_X29Y40/INT_R.NE6END0->>NE6BEG0 INT_R_X31Y44/INT_R.NE6END0->>NN6BEG0 INT_R_X31Y50/INT_R.NN6END0->>NN6BEG0 INT_R_X31Y56/INT_R.NN6END0->>NN6BEG0 INT_R_X31Y62/INT_R.NN6END0->>NN6BEG0 INT_R_X31Y68/INT_R.NN6END0->>NN2BEG0 INT_R_X31Y69/INT_R.NN2END_S2_0->>SR1BEG_S0 INT_R_X31Y69/INT_R.SR1BEG_S0->>IMUX34 RIOI3_TBYTESRC_X31Y69/RIOI3_TBYTESRC.IOI_IMUX34_0->IOI_OLOGIC1_D1 RIOI3_TBYTESRC_X31Y69/RIOI3_TBYTESRC.IOI_OLOGIC1_D1->>RIOI_OLOGIC1_OQ RIOI3_TBYTESRC_X31Y69/RIOI3_TBYTESRC.RIOI_OLOGIC1_OQ->>RIOI_O1
routepin.first.anchor_o2_OBUF.driver	anchor_ff2/Q
routepin.first.anchor_o2_OBUF.sinks	anchor_o2_OBUF_inst/I
routepin.first.anchor_o2_OBUF.status	ROUTED
routepin.first.anchor_o2_OBUF.fixed	1
routepin.first.anchor_o_OBUF.route	 { CLBLL_L_AQ CLBLL_LOGIC_OUTS0 NE6BEG0 NE6BEG0 NE6BEG0 NE6BEG0 NN6BEG0 LV0 NE6BEG3 NN6BEG3 EL1BEG2 EL1BEG1 IMUX34 IOI_OLOGIC0_D1 RIOI_OLOGIC0_OQ RIOI_O0 }  
