specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X14Y25_async	SLICE_X14Y25	async	implementation	21d87ed1d6b21516d9841865a2430d151d5868e9e7f4465875f723fb91492974	52c93dd5a7c3c4581080826df28356e9e1f05781fb99463af49c36c3dfe7ad77	275e6b676679e693fed819b29149db83795670b4eb1931e81b74921708bb0222
SLICE_X14Y25_base	SLICE_X14Y25	base	implementation	d1e1d29e1cfcd4861a1fe8ac6582254d31ca2f46f3d0a0cb5153d74bfe62a1a9	a0dc651081aed9250c1f7b712b957f606502c54f0895f9b9805171a1ed8b2297	b2a7eb846371f3466641c047ab37aca63f23d3c6486e3f1692ca94fae7b662a1
SLICE_X14Y25_ce_tied	SLICE_X14Y25	ce_tied	implementation	223d53618f2db18d98b0069e3143dea705aea109ee63a7ebfd24be909423759f	017297ed5ba8481d720d517759b6890e8aa5cf71fa6e2bd4313910fb70f6edaa	bd2a0eff8de6a06a0ceb99efa6732de810245ce1de5568257491c67bc6a276e6
SLICE_X14Y25_clkinv	SLICE_X14Y25	clkinv	implementation	60396c5065d8a291f01230be8fee21629f102d7860109d5901ae2e1a8244e3d6	3b8285942a1b414dd424c690b168b5111167f18bfec09ef8a14d439644067289	bdeeb147215226d60f0bb0211592ad29f7c4c51711ff842df1fa773cad7d0afc
SLICE_X14Y25_latch	SLICE_X14Y25	latch	implementation	d7c62af0c33b36aedf22f77a02f4fc780c92324ca11737022aab52d2115a9075	8d19fa2dfda057df6f2b9711254c178163cca18c6e111f33e20a1d2c194f2cd2	233f7ae2dddeef9694f7400df4f2d06f424f7d0f7b670c909dc5eb8b7201e984
SLICE_X14Y25_latch_base	SLICE_X14Y25	latch_base	implementation	a66dc2075fac2d59a75f5cb342608d4f8ec660d1c15081b874e90aedc1aa49e3	c0e7f13db199e47a9078d0308fae3f0bcdffb1479a2d89d820b57e3cf6178239	f7c0925deab45d9a93c25eebffeaf5558a696cbfe29e58f5e912ea011ac9e3fd
SLICE_X14Y25_sr_tied	SLICE_X14Y25	sr_tied	implementation	fc6ddc824bf6cf899973a71ba591f5558db79a9f7e6d078af01acd2f5292b596	d112af48cbee24150782560bd91242ba04dabe9af36074bf3334942e5576a26f	db001376edb88f0c4418cccd28cdd3020023d774fc4804132ec14917d5ede188
SLICE_X14Y25_zini_A5FF	SLICE_X14Y25	zini_A5FF	derived	813b5471dd1789d54bb56f104725ac9077e4a563ae67dc4b89a4425e3ff2136b	e928151b85f1ffd3aa1c889d741a0bcf558bd26e9d02834cd6d1e3fa32fd2caf	ed7fa13036b3f4c0630efaf5fe0f7d1ccee8bde112ce2650b48e1dc08b340930
SLICE_X14Y25_zini_AFF	SLICE_X14Y25	zini_AFF	derived	a527a2cb25dabd530e976e928351f92a44be7a94d22691d06cc6cd4dac7ed4ed	721f96fffaf6e7b66322fa93e41982e71baee890195437833514e06d9e98323a	157c9eb484242a5dce0534f1a46ff3455ab7e43ad33557abc3336c797411691a
SLICE_X14Y25_zini_B5FF	SLICE_X14Y25	zini_B5FF	derived	bc82561aa7240e62381f38c2b176f8e058dc38418b6fc8512c3c840e324881a5	331d90ce5409c4c2125e788dfea6c77939689b5ae45ad9ce50b372bedd71a5ff	cd4259ed1dd7fa22415062ba9f8dafa2baae289905a44e4af7c196c69ce0c27a
