part	xc7z010clg400-1
vivado_version	2025.2
mode	3
requested_site	SLICE_X2Y25
requested_bel	AFF
bel_after_constraint	SLICEL.AFF
anchor	1
anchor_site	SLICE_X4Y20
anchor_site2	SLICE_X2Y20
site_type	SLICEL
tile	CLBLL_L_X2Y25
tile_type	CLBLL_L
storage_count	1
lut_count	1
storage_ref	FDCE
storage_loc	SLICE_X2Y25
storage_bel	SLICEL.AFF
storage_init	1'b0
store.0.name	g_single.g_fdce_inv.storage
store.0.ref	FDCE
store.0.loc	SLICE_X2Y25
store.0.bel	SLICEL.AFF
store.0.init	1'b0
lut.0.name	g_single.target_lut
lut.0.ref	LUT6
lut.0.loc	SLICE_X2Y25
lut.0.bel	SLICEL.A6LUT
storage_prop.IS_C_INVERTED	1'b1
storage_prop.IS_G_INVERTED	
storage_prop.IS_CLR_INVERTED	1'b0
storage_prop.IS_R_INVERTED	
storage_prop.IS_CE_INVERTED	
storage_prop.IS_GE_INVERTED	
storage_prop.IS_D_INVERTED	1'b0
lut_loc	SLICE_X2Y25
lut_bel	SLICEL.A6LUT
lut_lock_pins	I0:A1 I1:A2 I2:A3 I3:A4 I4:A5 I5:A6
pin.Q.net	q_OBUF
pin.Q.belpin	SLICE_X2Y25/AFF/Q
pin.Q.route_status	ROUTED
pin.C.net	clk_g
pin.C.belpin	SLICE_X2Y25/AFF/CK
pin.C.route_status	ROUTED
pin.CE.net	ce_IBUF
pin.CE.belpin	SLICE_X2Y25/AFF/CE
pin.CE.route_status	ROUTED
pin.CLR.net	rst_IBUF
pin.CLR.belpin	SLICE_X2Y25/AFF/SR
pin.CLR.route_status	ROUTED
pin.D.net	o_OBUF
pin.D.belpin	SLICE_X2Y25/AFF/D
pin.D.route_status	ROUTED
occupied.0.bel	SLICE_X2Y25/A6LUT
occupied.0.cell	g_single.target_lut
occupied.0.ref	LUT6
occupied.1.bel	SLICE_X2Y25/AFF
occupied.1.cell	g_single.g_fdce_inv.storage
occupied.1.ref	FDCE
anchor.0.name	g_anchor.anchor_ff
anchor.0.ref	FDRE
anchor.0.loc	SLICE_X4Y20
anchor.0.bel	SLICEM.AFF
anchor.1.name	g_anchor.anchor_ff2
anchor.1.ref	FDRE
anchor.1.loc	SLICE_X2Y20
anchor.1.bel	SLICEL.AFF
anchor.2.name	g_anchor.anchor_lut1
anchor.2.ref	LUT6
anchor.2.loc	SLICE_X4Y20
anchor.2.bel	SLICEM.A6LUT
anchor.3.name	g_anchor.anchor_lut2
anchor.3.ref	LUT6
anchor.3.loc	SLICE_X4Y20
anchor.3.bel	SLICEM.B6LUT
net.0.name	<const0>
net.0.route_status	INTRASITE
net.1.name	<const1>
net.1.route_status	INTRASITE
net.2.name	anchor_o
net.2.route_status	INTRASITE
net.3.name	anchor_o2
net.3.route_status	INTRASITE
net.4.name	anchor_o2_OBUF
net.4.route_status	ROUTED
net.5.name	anchor_o_OBUF
net.5.route_status	ROUTED
net.6.name	ce
net.6.route_status	INTRASITE
net.7.name	ce_IBUF
net.7.route_status	ROUTED
net.8.name	clk
net.8.route_status	INTRASITE
net.9.name	clk_IBUF
net.9.route_status	ROUTED
net.10.name	clk_g
net.10.route_status	ROUTED
net.11.name	g_anchor.w1
net.11.route_status	ROUTED
net.12.name	g_anchor.w2
net.12.route_status	ROUTED
net.13.name	i[0]
net.13.route_status	INTRASITE
net.14.name	i[1]
net.14.route_status	INTRASITE
net.15.name	i[2]
net.15.route_status	INTRASITE
net.16.name	i[3]
net.16.route_status	INTRASITE
net.17.name	i[4]
net.17.route_status	INTRASITE
net.18.name	i[5]
net.18.route_status	INTRASITE
net.19.name	i_IBUF[0]
net.19.route_status	ROUTED
net.20.name	i_IBUF[1]
net.20.route_status	ROUTED
net.21.name	i_IBUF[2]
net.21.route_status	ROUTED
net.22.name	i_IBUF[3]
net.22.route_status	ROUTED
net.23.name	i_IBUF[4]
net.23.route_status	ROUTED
net.24.name	i_IBUF[5]
net.24.route_status	ROUTED
net.25.name	o
net.25.route_status	INTRASITE
net.26.name	o_OBUF
net.26.route_status	ROUTED
net.27.name	q
net.27.route_status	INTRASITE
net.28.name	q_OBUF
net.28.route_status	ROUTED
net.29.name	rst
net.29.route_status	INTRASITE
net.30.name	rst_IBUF
net.30.route_status	ROUTED
