part	xc7z010clg400-1
vivado_version	2025.2
mode	4
requested_site	SLICE_X2Y25
requested_bel	AFF
bel_after_constraint	SLICEL.AFF
anchor	1
anchor_site	SLICE_X4Y20
anchor_site2	SLICE_X2Y20
site_type	SLICEL
tile	CLBLL_L_X2Y25
tile_type	CLBLL_L
storage_count	8
lut_count	8
storage_ref	FDCE
storage_loc	SLICE_X2Y25
storage_bel	SLICEL.AFF
storage_init	1'b0
store.0.name	g_full.g_store[0].g_used.g_ff.s
store.0.ref	FDCE
store.0.loc	SLICE_X2Y25
store.0.bel	SLICEL.AFF
store.0.init	1'b0
store.1.name	g_full.g_store[1].g_used.g_ff.s
store.1.ref	FDCE
store.1.loc	SLICE_X2Y25
store.1.bel	SLICEL.A5FF
store.1.init	1'b0
store.2.name	g_full.g_store[2].g_used.g_ff.s
store.2.ref	FDCE
store.2.loc	SLICE_X2Y25
store.2.bel	SLICEL.BFF
store.2.init	1'b0
store.3.name	g_full.g_store[3].g_used.g_ff.s
store.3.ref	FDCE
store.3.loc	SLICE_X2Y25
store.3.bel	SLICEL.B5FF
store.3.init	1'b0
store.4.name	g_full.g_store[4].g_used.g_ff.s
store.4.ref	FDCE
store.4.loc	SLICE_X2Y25
store.4.bel	SLICEL.CFF
store.4.init	1'b0
store.5.name	g_full.g_store[5].g_used.g_ff.s
store.5.ref	FDCE
store.5.loc	SLICE_X2Y25
store.5.bel	SLICEL.C5FF
store.5.init	1'b0
store.6.name	g_full.g_store[6].g_used.g_ff.s
store.6.ref	FDCE
store.6.loc	SLICE_X2Y25
store.6.bel	SLICEL.DFF
store.6.init	1'b0
store.7.name	g_full.g_store[7].g_used.g_ff.s
store.7.ref	FDCE
store.7.loc	SLICE_X2Y25
store.7.bel	SLICEL.D5FF
store.7.init	1'b0
lut.0.name	g_full.g_hi[0].l
lut.0.ref	LUT5
lut.0.loc	SLICE_X2Y25
lut.0.bel	SLICEL.A6LUT
lut.1.name	g_full.g_hi[1].l
lut.1.ref	LUT5
lut.1.loc	SLICE_X2Y25
lut.1.bel	SLICEL.B6LUT
lut.2.name	g_full.g_hi[2].l
lut.2.ref	LUT5
lut.2.loc	SLICE_X2Y25
lut.2.bel	SLICEL.C6LUT
lut.3.name	g_full.g_hi[3].l
lut.3.ref	LUT5
lut.3.loc	SLICE_X2Y25
lut.3.bel	SLICEL.D6LUT
lut.4.name	g_full.g_lo[0].l
lut.4.ref	LUT5
lut.4.loc	SLICE_X2Y25
lut.4.bel	SLICEL.A5LUT
lut.5.name	g_full.g_lo[1].l
lut.5.ref	LUT5
lut.5.loc	SLICE_X2Y25
lut.5.bel	SLICEL.B5LUT
lut.6.name	g_full.g_lo[2].l
lut.6.ref	LUT5
lut.6.loc	SLICE_X2Y25
lut.6.bel	SLICEL.C5LUT
lut.7.name	g_full.g_lo[3].l
lut.7.ref	LUT5
lut.7.loc	SLICE_X2Y25
lut.7.bel	SLICEL.D5LUT
storage_prop.IS_C_INVERTED	1'b1
storage_prop.IS_G_INVERTED	
storage_prop.IS_CLR_INVERTED	1'b0
storage_prop.IS_R_INVERTED	
storage_prop.IS_CE_INVERTED	
storage_prop.IS_GE_INVERTED	
storage_prop.IS_D_INVERTED	1'b0
lut_loc	SLICE_X2Y25
lut_bel	SLICEL.A6LUT
lut_lock_pins	I0:A1 I1:A2 I2:A3 I3:A4 I4:A5
pin.Q.net	g_full.qb[0]
pin.Q.belpin	SLICE_X2Y25/AFF/Q
pin.Q.route_status	ROUTED
pin.C.net	clk_g
pin.C.belpin	SLICE_X2Y25/AFF/CK
pin.C.route_status	ROUTED
pin.CE.net	ce_IBUF
pin.CE.belpin	SLICE_X2Y25/AFF/CE
pin.CE.route_status	ROUTED
pin.CLR.net	rst_IBUF
pin.CLR.belpin	SLICE_X2Y25/AFF/SR
pin.CLR.route_status	ROUTED
pin.D.net	o_OBUF
pin.D.belpin	SLICE_X2Y25/AFF/D
pin.D.route_status	ROUTED
occupied.0.bel	SLICE_X2Y25/D5FF
occupied.0.cell	g_full.g_store[7].g_used.g_ff.s
occupied.0.ref	FDCE
occupied.1.bel	SLICE_X2Y25/C5FF
occupied.1.cell	g_full.g_store[5].g_used.g_ff.s
occupied.1.ref	FDCE
occupied.2.bel	SLICE_X2Y25/B5FF
occupied.2.cell	g_full.g_store[3].g_used.g_ff.s
occupied.2.ref	FDCE
occupied.3.bel	SLICE_X2Y25/A5FF
occupied.3.cell	g_full.g_store[1].g_used.g_ff.s
occupied.3.ref	FDCE
occupied.4.bel	SLICE_X2Y25/D6LUT
occupied.4.cell	g_full.g_hi[3].l
occupied.4.ref	LUT5
occupied.5.bel	SLICE_X2Y25/D5LUT
occupied.5.cell	g_full.g_lo[3].l
occupied.5.ref	LUT5
occupied.6.bel	SLICE_X2Y25/C6LUT
occupied.6.cell	g_full.g_hi[2].l
occupied.6.ref	LUT5
occupied.7.bel	SLICE_X2Y25/C5LUT
occupied.7.cell	g_full.g_lo[2].l
occupied.7.ref	LUT5
occupied.8.bel	SLICE_X2Y25/B6LUT
occupied.8.cell	g_full.g_hi[1].l
occupied.8.ref	LUT5
occupied.9.bel	SLICE_X2Y25/B5LUT
occupied.9.cell	g_full.g_lo[1].l
occupied.9.ref	LUT5
occupied.10.bel	SLICE_X2Y25/A6LUT
occupied.10.cell	g_full.g_hi[0].l
occupied.10.ref	LUT5
occupied.11.bel	SLICE_X2Y25/A5LUT
occupied.11.cell	g_full.g_lo[0].l
occupied.11.ref	LUT5
occupied.12.bel	SLICE_X2Y25/DFF
occupied.12.cell	g_full.g_store[6].g_used.g_ff.s
occupied.12.ref	FDCE
occupied.13.bel	SLICE_X2Y25/CFF
occupied.13.cell	g_full.g_store[4].g_used.g_ff.s
occupied.13.ref	FDCE
occupied.14.bel	SLICE_X2Y25/BFF
occupied.14.cell	g_full.g_store[2].g_used.g_ff.s
occupied.14.ref	FDCE
occupied.15.bel	SLICE_X2Y25/AFF
occupied.15.cell	g_full.g_store[0].g_used.g_ff.s
occupied.15.ref	FDCE
anchor.0.name	g_anchor.anchor_ff
anchor.0.ref	FDRE
anchor.0.loc	SLICE_X4Y20
anchor.0.bel	SLICEM.AFF
anchor.1.name	g_anchor.anchor_ff2
anchor.1.ref	FDRE
anchor.1.loc	SLICE_X2Y20
anchor.1.bel	SLICEL.AFF
anchor.2.name	g_anchor.anchor_lut1
anchor.2.ref	LUT6
anchor.2.loc	SLICE_X4Y20
anchor.2.bel	SLICEM.A6LUT
anchor.3.name	g_anchor.anchor_lut2
anchor.3.ref	LUT6
anchor.3.loc	SLICE_X4Y20
anchor.3.bel	SLICEM.B6LUT
net.0.name	<const0>
net.0.route_status	INTRASITE
net.1.name	<const1>
net.1.route_status	ROUTED
net.2.name	anchor_o
net.2.route_status	INTRASITE
net.3.name	anchor_o2
net.3.route_status	INTRASITE
net.4.name	anchor_o2_OBUF
net.4.route_status	ROUTED
net.5.name	anchor_o_OBUF
net.5.route_status	ROUTED
net.6.name	ce
net.6.route_status	INTRASITE
net.7.name	ce_IBUF
net.7.route_status	ROUTED
net.8.name	clk
net.8.route_status	INTRASITE
net.9.name	clk_IBUF
net.9.route_status	ROUTED
net.10.name	clk_g
net.10.route_status	ROUTED
net.11.name	g_anchor.w1
net.11.route_status	ROUTED
net.12.name	g_anchor.w2
net.12.route_status	ROUTED
net.13.name	g_full.o5[0]
net.13.route_status	INTRASITE
net.14.name	g_full.o5[1]
net.14.route_status	INTRASITE
net.15.name	g_full.o5[2]
net.15.route_status	INTRASITE
net.16.name	g_full.o5[3]
net.16.route_status	INTRASITE
net.17.name	g_full.o6[1]
net.17.route_status	INTRASITE
net.18.name	g_full.o6[2]
net.18.route_status	INTRASITE
net.19.name	g_full.o6[3]
net.19.route_status	INTRASITE
net.20.name	g_full.qb[0]
net.20.route_status	ROUTED
net.21.name	g_full.qb[1]
net.21.route_status	ROUTED
net.22.name	g_full.qb[2]
net.22.route_status	ROUTED
net.23.name	g_full.qb[3]
net.23.route_status	ROUTED
net.24.name	g_full.qb[4]
net.24.route_status	ROUTED
net.25.name	g_full.qb[5]
net.25.route_status	ROUTED
net.26.name	g_full.qb[6]
net.26.route_status	ROUTED
net.27.name	g_full.qb[7]
net.27.route_status	ROUTED
net.28.name	g_full.qr1
net.28.route_status	ROUTED
net.29.name	i[0]
net.29.route_status	INTRASITE
net.30.name	i[1]
net.30.route_status	INTRASITE
net.31.name	i[2]
net.31.route_status	INTRASITE
net.32.name	i[3]
net.32.route_status	INTRASITE
net.33.name	i[4]
net.33.route_status	INTRASITE
net.34.name	i[5]
net.34.route_status	INTRASITE
net.35.name	i_IBUF[0]
net.35.route_status	ROUTED
net.36.name	i_IBUF[1]
net.36.route_status	ROUTED
net.37.name	i_IBUF[2]
net.37.route_status	ROUTED
net.38.name	i_IBUF[3]
net.38.route_status	ROUTED
net.39.name	i_IBUF[4]
net.39.route_status	ROUTED
net.40.name	i_IBUF[5]
net.40.route_status	ROUTED
net.41.name	o
net.41.route_status	INTRASITE
net.42.name	o_OBUF
net.42.route_status	ROUTED
net.43.name	q
net.43.route_status	INTRASITE
net.44.name	q_OBUF
net.44.route_status	ROUTED
net.45.name	rst
net.45.route_status	INTRASITE
net.46.name	rst_IBUF
net.46.route_status	ROUTED
