part	xc7z010clg400-1
vivado_version	2025.2
mode	7
requested_site	SLICE_X2Y25
requested_bel	AFF
bel_after_constraint	SLICEL.AFF
anchor	1
anchor_site	SLICE_X4Y20
anchor_site2	SLICE_X2Y20
site_type	SLICEL
tile	CLBLL_L_X2Y25
tile_type	CLBLL_L
storage_count	4
lut_count	8
storage_ref	LDCE
storage_loc	SLICE_X2Y25
storage_bel	SLICEL.AFF
storage_init	1'b0
store.0.name	g_full.g_store[0].g_used.g_latch.s
store.0.ref	LDCE
store.0.loc	SLICE_X2Y25
store.0.bel	SLICEL.AFF
store.0.init	1'b0
store.1.name	g_full.g_store[1].g_used.g_latch.s
store.1.ref	LDCE
store.1.loc	SLICE_X2Y25
store.1.bel	SLICEL.BFF
store.1.init	1'b0
store.2.name	g_full.g_store[2].g_used.g_latch.s
store.2.ref	LDCE
store.2.loc	SLICE_X2Y25
store.2.bel	SLICEL.CFF
store.2.init	1'b0
store.3.name	g_full.g_store[3].g_used.g_latch.s
store.3.ref	LDCE
store.3.loc	SLICE_X2Y25
store.3.bel	SLICEL.DFF
store.3.init	1'b0
lut.0.name	g_full.g_hi[0].l
lut.0.ref	LUT5
lut.0.loc	SLICE_X2Y25
lut.0.bel	SLICEL.A6LUT
lut.1.name	g_full.g_hi[1].l
lut.1.ref	LUT5
lut.1.loc	SLICE_X2Y25
lut.1.bel	SLICEL.B6LUT
lut.2.name	g_full.g_hi[2].l
lut.2.ref	LUT5
lut.2.loc	SLICE_X2Y25
lut.2.bel	SLICEL.C6LUT
lut.3.name	g_full.g_hi[3].l
lut.3.ref	LUT5
lut.3.loc	SLICE_X2Y25
lut.3.bel	SLICEL.D6LUT
lut.4.name	g_full.g_lo[0].l
lut.4.ref	LUT5
lut.4.loc	SLICE_X2Y25
lut.4.bel	SLICEL.A5LUT
lut.5.name	g_full.g_lo[1].l
lut.5.ref	LUT5
lut.5.loc	SLICE_X2Y25
lut.5.bel	SLICEL.B5LUT
lut.6.name	g_full.g_lo[2].l
lut.6.ref	LUT5
lut.6.loc	SLICE_X2Y25
lut.6.bel	SLICEL.C5LUT
lut.7.name	g_full.g_lo[3].l
lut.7.ref	LUT5
lut.7.loc	SLICE_X2Y25
lut.7.bel	SLICEL.D5LUT
storage_prop.IS_C_INVERTED	
storage_prop.IS_G_INVERTED	1'b0
storage_prop.IS_CLR_INVERTED	1'b0
storage_prop.IS_R_INVERTED	
storage_prop.IS_CE_INVERTED	
storage_prop.IS_GE_INVERTED	
storage_prop.IS_D_INVERTED	
lut_loc	SLICE_X2Y25
lut_bel	SLICEL.A6LUT
lut_lock_pins	I0:A1 I1:A2 I2:A3 I3:A4 I4:A5
pin.Q.net	g_full.qb[0]
pin.Q.belpin	SLICE_X2Y25/AFF/Q
pin.Q.route_status	ROUTED
pin.CLR.net	rst_IBUF
pin.CLR.belpin	SLICE_X2Y25/AFF/SR
pin.CLR.route_status	ROUTED
pin.D.net	o_OBUF
pin.D.belpin	SLICE_X2Y25/AFF/D
pin.D.route_status	ROUTED
pin.G.net	clk_g
pin.G.belpin	SLICE_X2Y25/AFF/CK
pin.G.route_status	ROUTED
