specimen_id	node_type	variant	spec.bit	readback.tsv	checkpoint
SLICE_X2Y25_async	implementation	async	dd2c140a63dae36235408976a574d8c2f9633d5f5d4a3a126266cc3b3ab8f985	b5ed53820cf2101f4f8eda5777aad1d27e48259e4ff22122d8d0a0deabf440fe	e5bce84a89d27946d16ec6ae95c2d65106242d4c646954643b9235605dec5f62
SLICE_X2Y25_base	implementation	base	6136264c1d27457e3b3a2563554e966d9d929d69a0d719ca14bdcfe71669fed5	40b859e243818ce63cbfb4370b5c6b3b338cee718c3f9e4f2c31f4fa74ebf9dc	e38c9cdd12b7cbf91ca97ea91557fa5eac1dbe8a5b2ba11de0117c717accc623
SLICE_X2Y25_ce_tied	implementation	ce_tied	294fa56218ce210f40fe5b6a6552e1db8812abe1b10006ff54fe7fdead9fa361	3e2201caed718734f190821356fa5556648d6a90ed5fb0fc410998848233b6e2	35bafd1290c0c7a35b4b6a163b07c1cbc931e536f5026b19c6f3b4d4739558b0
SLICE_X2Y25_clkinv	implementation	clkinv	66cbd87eb44e58490c2d43e2688246974ce48c6f2a4b9ba7b3488f7548bd3684	82fca2d677b70d13458132d8ea764e77776ba5379de077802ed3ffb03e7dcc57	a9d6cca296c90e3047d4b42770927776aa5685670d7114e2be5867d087024552
SLICE_X2Y25_latch	implementation	latch	cd2105b61d37e8087f81e49ef18df7fd55bfc331b6f9f6e8010f57efc81e0624	774214cafbdcded45a39205b3d06156eec89f242b39afd018d66c8f47030be47	fcc499116a311f6c29ef9cad8ae530f95f0033d5d62d1385825770f2963daca7
SLICE_X2Y25_latch_base	implementation	latch_base	41e4a6aaf0163b4caff01c330fced7bfaa6e71a302ae9dab7f8f838aceb89aed	d9ca9936fadc8f429599d546c744d069a5e4c48193fb5b879df6ac8b08a8675f	56a537f39ffddf679b707098e796b04a2f1051312822ac173dad524bd947e8df
SLICE_X2Y25_sr_tied	implementation	sr_tied	5a45918ae50dfbb483547bd1446f5d9801377f4250faae1c2602bb482d203c3b	f12a6f726893d9ba3d18d4a4bc970f49c378e91cac4b93e5a2d6a7f936853116	d69bf7c96dda475982a76c87beb3ececfa5a49ada742623c320b478d8afaf963
SLICE_X2Y25_zini_A5FF	derived	zini_A5FF	6b3ff8b019c37439e4d8bbac430072dc987033f08037711cac44b4576247a8a4	c1a0fbbec0654583bd648c0fced1fdf0dd3c6eb4faa68eebc74eb109c5baa2f2	ecaf9ec9dc7d04655cc849d9229bfc457fbd0f8445227bd64f2fd8ddc1db8dd6
SLICE_X2Y25_zini_AFF	derived	zini_AFF	12c097c8fed83abd84a4b06b72978c6181658e7e5d564e2fbc1a78764ba94554	af69a98225475e60247f1ae97c6a80d091cfa084f2b877b0b2072d7c2f318906	1d0fa948c9b41066a0cc314c643dc87db9c958a1bf9477e490e4a5861bf1fdfa
SLICE_X2Y25_zini_B5FF	derived	zini_B5FF	416821c312354d44e761376dcc489c100f67bd335ac5502af5ad086800d7d70c	e3baf7395bfa65d8205df4577ca2e729f28639bb5aee833c8e8728c18c40cff8	1b84c1cfb0fbb9fe45e254a704d5e7a6afc902a660b9151cd9e367738b543dca
SLICE_X2Y25_zini_BFF	derived	zini_BFF	8fc94e97e658cd293912417920b1a8f6455cf34cd948f6c40d2d1987648f3f8a	004cc51c1e19c16c56b9d6f2a17541e945d7fedbdcf7a50f3d870e063e73fb10	ec94c51574a5206360c4fee7a3f822dfedda3ad61569cd686dc3c9972fc27a39
SLICE_X2Y25_zini_C5FF	derived	zini_C5FF	9ed8be1c3769d97746861e9baa36ef507738ecd9fe0479a92f7853b223fbab37	84e82ff785113893e3697c17475599f5de2943e0772b0de1530f1f74a6c5407c	550071bc8b8aa6465ff63c9b86f15f71b49ba22cdd1d148129bad70f30997235
SLICE_X2Y25_zini_CFF	derived	zini_CFF	f7a7b5edf144d379dea4a1f7db5d23c15b2282c7388e75817cc59348e4cb6647	548bd2b0822f7641599e65cc85a39ea477e615834724a5a085de631cfbe01dc5	4d60143811d965159450ebca65220d468bd027a6d72ffea37221a961c6263474
SLICE_X2Y25_zini_D5FF	derived	zini_D5FF	27fb0c017c64de7b27bcbe85c2cd52084d7a10ddc25f4f9b3f9742ced79c498f	b9f17c3bc8abfdfe2466219c98beb82278f5a1224076f573ffb026db5f73686b	36e77267c9c5744542cac1bda65a5cc8dceeb0533a72c1e3fe1b87bf0f3ceff6
SLICE_X2Y25_zini_DFF	derived	zini_DFF	47ffcc81e404fae9952db81ff25a24247a75ac96aabbc5593d8d285021995cca	8aa6d59d9327117691a59eaf41d74debf2e15afe6246fb3ed5ff852d75171a06	b01626e63ce1f161878d0b49acaf64e4bc7d0878f79e4497f8901dd65bff78a3
SLICE_X2Y25_zrst_A5FF	implementation	zrst_A5FF	dbf18e9fc1f41f04dc71afe0dec2a4f9c06eb3ba2203586b8386d31f6fbbf120	c1dcf39f11fb63cbdfd7d88db05b838e4637bfbb7fcb3daba862d3fca755ee51	3bc409b5ce5b73fd462c19c1cf7aa9e524182d96eb2bb32d0a0de38fa717994d
SLICE_X2Y25_zrst_AFF	implementation	zrst_AFF	93770c4e235ebfd114c9535b3f6648aa577f70ab3f4fec9e130402115a858fed	d36dfb839cb9328c47b19ff5516d8fb9cccb600e36f2ebcc3fe889e7a6124753	f7c4a207522999f2d1702e2a3d09a4000606089a35d1dc926e3f64d2bb1f70c4
SLICE_X2Y25_zrst_B5FF	implementation	zrst_B5FF	5e4fbf9cdec36111e5d34bffaea2e226eda42a35b0b673b44b443e6a05fe80c4	8225813c002acb70e59ab18dca380e73483443eccdaa4e81905b4b91f4b56a5f	42b47dab95b166739c00e53a357d88c532c8883cd551b4addfa08826bc4899f6
SLICE_X2Y25_zrst_BFF	implementation	zrst_BFF	97eac596a8adf0b31eaed69f25c7b42f8fa12ed14315be4379126c9cb770ea0c	c7473687d3a37b7974e312f427c33e17a9da9efb17b0a1974e307d028ddc5202	eb9a1f9e48a338642854e69750eb8e2cf69e33893dcd5f4c26fbc87e2785f4f4
SLICE_X2Y25_zrst_C5FF	implementation	zrst_C5FF	0379321b07eacf4e3704d6bb27d17a88bf2e234df0b53cc860f251f835cefbec	27bf0f1c25b286b656a265e6dc65f1bc6824937fed53b4440af276851e54dd9f	db6e5597fb335c1a9232463480fc3beed79e1f7e4e4b149b46e9a90255b0cb17
SLICE_X2Y25_zrst_CFF	implementation	zrst_CFF	bb4ab02087d5fd0b9a48c96308d120e645134d381f27ade13651aa10a2acf1ba	c583e6f9cfb1f93c336d78a35a116df4ce24e569747d47070fea8c3c11a50121	1081565f1ffec6ffd20fe1e37b26b7e53e5f30f9a8aa0eedf7b464048d8794fc
SLICE_X2Y25_zrst_D5FF	implementation	zrst_D5FF	b34fae5fd6d082d471dc8d04e8f022759e68c2f499d56ae25281ad397725f50d	fe7c09accd58d3d72a667b522ba714d719b1d7d8b8abf52936bf10cdbd2dc52e	feca2fa71d0dee0860d96b6e15b6e892fc2ab77dd2f6a376514457073409b5b2
SLICE_X2Y25_zrst_DFF	implementation	zrst_DFF	6e9c0769599de45c3cd54a830492ed40981d43e15a042756458e94652c54f640	2b829075c7d5138056385c003647f8218737d7515cfd005a53bb9f56d4d1d8db	dc9eff76e54964efcd2a55fe94f4ef1a707ee936f531df588eda9dfa6a555c6b
